domain,total_products,avg_price,hero_score,vendor_count,discount_ratio
www.tuftandneedle.com,106,244.46320754716987,4.904623530183573,5,0.8018867924528302
elementaltrading.myshopify.com,42,53.142857142857146,4.610215053763441,3,0.0
oyam.myshopify.com,4,30079.75,3.9893948586673758,3,0.0
creat.myshopify.com,3,2173.6666666666665,2.990338905075909,3,0.0
fotoforum.myshopify.com,3,96.0,2.6041666666666665,2,0.0
moxy.myshopify.com,3,389.6666666666667,2.566295979469632,3,0.0
billboard.myshopify.com,3,82.96666666666665,2.530534351145038,2,0.0
partyafrique.myshopify.com,4,22.225,2.4746906636670416,1,0.0
www.huel.com,114,28.861315789473675,2.3820812779809075,1,0.19298245614035087
boyle-llc4019.myshopify.com,250,67.416,2.2101578260353625,6,0.248
groundedvertigo.myshopify.com,3,36.333333333333336,2.201834862385321,3,0.0
www.getquip.com,107,28.08411214953271,2.136439267886855,1,0.028037383177570093
goldencast.myshopify.com,2,5.0,2.0,1,0.0
taodvd.myshopify.com,2,3.475,2.0,1,0.0
vagtshop.myshopify.com,2,32509.0,1.9994155464640562,2,0.0
till.myshopify.com,2,5009.5,1.9962072063080147,2,0.0
linuxgears.myshopify.com,2,4009.5,1.9952612545205137,2,0.0
boodoo.myshopify.com,2,2509.5,1.9924287706714485,2,0.0
avsolutions.myshopify.com,2,1259.5,1.9849146486701073,2,0.0
istudiotest.myshopify.com,2,1009.5,1.9811788013868252,2,0.0
marshallformancompany.myshopify.com,2,759.5,1.9749835418038184,1,0.0
wisp.myshopify.com,2,759.5,1.9749835418038184,2,0.0
onerider.myshopify.com,2,709.5,1.9732205778717407,2,0.0
hoop.myshopify.com,2,509.5,1.9627085377821394,2,0.5
minhnt.myshopify.com,2,509.5,1.9627085377821394,2,0.0
usinaweb.myshopify.com,2,509.0,1.962671905697446,2,0.0
prosportsdirect.myshopify.com,2,509.0,1.962671905697446,2,0.5
myamazon.myshopify.com,2,382.0,1.950261780104712,2,0.0
onehigherbeing.myshopify.com,2,370.0,1.9486486486486487,2,0.0
www.bestself.co,144,35.934999999999995,1.9198552942813414,6,0.4652777777777778
intelligentspine.myshopify.com,2,209.5,1.909307875894988,2,0.0
rfth.myshopify.com,2,184.5,1.897018970189702,2,0.0
